date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:43:14	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2010:43:14%20GMT	https://xaitokens.app/robots.txt		(from )
02:43:14	36429/36429	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jun%202024%2012:08:09%20GMT	https://xaitokens.app/presale/	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/index.html	(from )
02:43:14	30728/30728	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Jun%202024%2014:27:00%20GMT	https://xaitokens.app/presale/style.css	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/style.css	(from https://xaitokens.app/presale/)
02:43:15	9/9	---M--	403	error ('Forbidden')	text/html	date:Thu,%2005%20Dec%202024%2010:43:14%20GMT	https://kit.fontawesome.com/86b127aff6.js	C:/My%20Web%20Sites/dadada/kit.fontawesome.com/86b127aff6.1.delayed	(from https://xaitokens.app/presale/)
02:43:15	201689/201689	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2017:51:48%20GMT	https://xaitokens.app/presale/assets/Xai-coin.png	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/Xai-coin.png	(from https://xaitokens.app/presale/)
02:43:15	4676/4676	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2019:50:58%20GMT	https://xaitokens.app/presale/assets/image-removebg-preview%20(14).png	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/image-removebg-preview%20(14).png	(from https://xaitokens.app/presale/)
02:43:15	2271462/2271462	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202024%2021:14:54%20GMT	https://xaitokens.app/presale/assets/banner-33-2-2048x1915.png	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/banner-33-2-2048x1915.png	(from https://xaitokens.app/presale/)
02:43:15	378399/378399	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jun%202024%2023:14:02%20GMT	https://xaitokens.app/presale/assets/banner-5.jpg	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/banner-5.jpg	(from https://xaitokens.app/presale/)
02:43:16	251027/251027	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202024%2013:23:40%20GMT	https://xaitokens.app/presale/assets/z5520329352798_4809add7676de5643e97129c5d467412.jpg	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/z5520329352798_4809add7676de5643e97129c5d467412.jpg	(from https://xaitokens.app/presale/)
02:43:16	228933/228933	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202024%2013:31:50%20GMT	https://xaitokens.app/presale/assets/bieudo-1.png	C:/My%20Web%20Sites/dadada/xaitokens.app/presale/assets/bieudo-1.png	(from https://xaitokens.app/presale/)
